Strawberry Type/Chemical Label (Each entry is the volatility of the sample in ng / gFW hr),75-85-4 ,616-25-1 ,1629-58-9 ,96-22-0 ,110-62-3 ,1534-08-3 ,105-37-3,109-60-4 ,623-42-7 ,591-78-6 ,108-10-1 ,1576-87-0 ,1576-86-9 ,623-43-8 ,71-41-0,1576-95-0 ,556-24-1 ,589-38-8 ,105-54-4 ,66-25-1 ,123-86-4 ,624-24-8 ,29674-47-3 ,96-04-8 ,638-11-9 ,116-53-0 ,7452-79-1 ,6728-26-3 ,928-95-0 ,111-27-3 ,123-92-2 ,624-41-9 ,110-43-0,2432-51-1 ,105-66-8 ,539-82-2 ,111-71-7 ,628-63-7 ,1191-16-8 ,106-70-7 ,55514-48-2 ,110-93-0 ,109-21-7 ,123-66-0 ,124-13-0 ,142-92-7 ,2497-18-9 ,60415-61-4,104-76-7 , 2311-46-8 ,109-19-3 ,2548-87-0 ,540-18-1 ,4077-47-8 ,20664-46-4,821-55-6 ,5989-33-3 ,78-70-6 ,124-19-6 ,103-09-3,140-11-4 ,2639-63-6 ,53398-83-7 ,106-32-1 ,112-14-1 ,564-94-3 ,3913-81-3 ,134-20-3 ,110-39-4 ,110-38-3 ,29811-50-5 ,7786-58-5 ,15111-96-3 ,706-14-9 ,10522-34-6 ,5881-17-4 ,128-37-0,40716-66-3 ,4887-30-3 ,5454-09-1 ,2305-05-7 
RED MERLIN,5.79,25.70,70.43,53.34,9.57,0.49,0.73,1.01,1458.22,0.09,0.00,27.83,30.33,1.37,0.00,0.83,5.81,3.01,44.16,1428.52,5.76,2.78,1.28,0.50,18.79,20.54,37.44,9479.61,124.13,51.99,1.51,17.53,1.42,0.00,0.00,0.00,0.81,3.18,6.79,141.67,0.28,0.28,0.00,4.79,3.78,16.14,35.49,0.52,2.52,0.00,0.00,0.59,0.39,3.73,3.25,0.00,2.11,40.05,2.28,2.07,6.98,0.63,1.24,0.13,0.49,3.84,0.91,0.00,0.21,0.00,0.56,0.00,0.34,6.79,0.00,2.30,0.00,0.00,0.00,0.00,0.27
SAN ANDREAS,4.05,12.79,84.07,36.08,6.94,0.33,1.85,1.57,2394.10,0.73,0.00,27.68,26.12,0.89,0.00,0.14,9.56,0.91,30.97,2132.07,56.15,2.93,2.75,0.58,145.41,13.53,32.41,6926.46,30.73,0.87,14.24,25.41,4.41,0.91,4.42,0.39,0.44,3.12,17.54,167.24,0.11,1.34,23.64,73.49,2.03,28.01,12.68,0.31,12.90,1.56,0.00,0.70,1.09,7.67,29.67,0.00,1.39,137.52,3.64,2.37,9.74,3.48,0.87,0.65,1.25,0.06,0.55,0.00,7.00,1.64,0.26,0.18,0.23,83.49,0.51,3.63,1.47,46.87,3.77,0.00,3.57
ALBION,3.68,17.27,56.84,60.08,0.94,0.51,3.96,5.49,3152.61,2.44,0.00,23.52,26.38,7.71,0.39,0.00,37.70,0.22,37.58,1821.58,41.43,1.71,5.54,0.00,77.97,1.73,57.55,7974.22,29.04,39.47,21.04,22.86,1.54,0.56,1.61,2.66,1.10,2.73,8.36,56.88,0.71,1.06,15.39,14.48,2.58,16.58,20.08,0.02,1.13,0.44,0.00,1.22,1.45,5.27,3.65,0.00,1.07,168.45,3.63,1.44,5.62,1.43,1.55,0.35,2.62,8.36,0.51,0.00,1.69,0.00,0.46,1.13,0.41,6.56,0.24,3.99,2.54,12.49,0.00,0.00,1.57
CHARLOTTE,2.51,24.09,22.75,56.44,0.97,0.68,3.16,5.37,2692.37,0.69,0.00,12.17,15.75,20.17,2.30,0.00,249.23,0.21,42.06,2065.13,25.67,1.24,2.45,0.00,25.47,0.90,73.71,9785.12,45.12,52.15,55.52,10.44,0.00,3.15,0.00,0.00,1.43,3.02,7.78,18.26,0.60,0.39,0.66,3.59,7.31,21.39,35.79,0.15,0.20,0.01,0.00,0.38,0.28,4.46,13.69,0.00,1.67,34.07,3.20,1.68,2.93,0.90,1.71,0.11,1.15,3.84,0.67,1.46,0.00,0.00,0.40,0.49,0.41,0.37,0.00,3.89,0.00,0.00,0.00,0.00,0.83
FESTIVAL,2.54,6.47,54.11,42.49,28.77,0.30,17.27,2.21,2086.02,0.72,0.00,21.77,19.00,0.91,0.00,0.00,15.11,0.42,38.02,1860.14,8.18,10.28,3.05,0.00,47.69,40.71,29.66,6793.29,7.10,7.25,4.86,9.07,0.38,5.51,2.02,2.04,1.21,3.71,1.56,170.82,0.93,1.59,8.76,80.61,0.83,13.84,13.77,0.22,0.00,0.00,0.00,0.66,0.28,2.70,5.25,0.00,0.88,30.15,1.31,1.68,3.57,2.31,2.28,0.68,2.49,2.44,0.60,0.00,4.43,0.97,1.32,0.42,2.07,0.00,0.29,3.30,1.09,6.07,1.99,0.00,0.92
MARA DES BOIS,2.85,6.08,16.80,44.40,7.76,0.36,30.38,6.69,2145.67,0.16,0.00,8.74,9.58,7.44,0.00,0.00,11.96,0.44,20.80,2687.64,52.54,3.18,0.79,0.00,18.25,17.06,47.31,6226.18,21.80,29.18,8.81,7.36,0.51,2.94,6.53,1.41,1.05,4.22,4.08,240.92,1.15,1.05,51.57,295.46,4.55,32.49,23.27,0.00,2.16,0.00,0.00,0.35,1.81,4.22,9.85,0.00,0.13,21.64,2.85,3.05,4.13,12.55,5.77,6.07,22.76,4.30,1.42,4.74,28.14,2.30,1.73,4.34,2.49,0.00,0.56,3.40,0.00,0.88,7.36,1.55,1.43
MONTERREY,4.31,10.29,31.57,33.43,0.97,0.40,9.68,8.76,2820.74,1.11,0.00,18.24,13.37,4.28,0.15,0.00,46.02,0.57,31.73,1814.15,220.76,2.07,4.01,1.44,151.12,26.91,41.23,6568.59,10.41,20.52,25.30,106.05,1.90,0.53,3.90,0.23,0.59,3.83,34.43,55.08,2.44,1.40,55.74,26.33,7.79,104.68,50.34,0.12,3.69,1.72,1.06,0.45,1.21,16.37,40.26,0.00,1.51,133.91,5.54,3.33,30.29,6.93,2.81,0.62,67.70,0.62,1.08,0.00,46.32,0.45,28.72,13.36,1.00,0.00,0.40,5.11,2.04,3.32,8.36,3.97,0.14
ALBION,1.28,30.45,285.21,60.16,0.86,0.43,1.37,0.46,5282.14,17.61,0.00,42.60,39.14,2.63,2.42,0.00,52.19,2.12,37.27,3184.80,409.81,3.65,7.20,0.00,378.13,0.00,49.12,9284.85,51.62,45.45,12.53,3.34,21.56,0.44,4.57,6.79,7.65,5.60,1.04,189.25,0.42,3.53,1123.40,49.89,5.17,199.02,11.15,11.52,18.50,18.17,15.65,2.45,12.32,9.73,22.76,5.45,12.98,423.84,11.40,1.91,7.51,72.87,6.97,0.15,30.97,6.70,1.49,0.00,263.31,13.27,2.56,22.86,1.24,346.93,4.53,7.67,8.11,214.55,36.92,12.37,28.69
FESTIVAL,2.54,22.81,127.22,45.34,10.28,0.33,10.39,2.26,3598.18,3.83,0.00,45.86,38.23,2.07,2.08,1.88,5.82,1.40,40.51,2808.47,37.47,7.29,10.51,0.00,72.25,31.48,30.28,8842.99,41.84,28.56,6.77,7.29,6.08,7.63,11.41,3.83,2.87,2.60,1.76,232.02,0.42,2.49,57.18,169.83,4.07,31.69,14.33,1.89,6.57,7.21,1.23,2.19,4.81,7.08,12.05,2.52,3.63,104.29,5.26,1.93,3.57,8.17,8.39,1.06,6.29,4.95,1.70,0.00,17.42,1.71,0.70,1.05,1.07,2.62,1.23,6.13,8.09,149.32,7.95,1.92,14.55
MOJAVE,1.54,24.83,178.58,47.28,6.21,0.34,5.51,3.11,2466.44,9.28,3.01,46.72,38.37,0.75,2.49,4.11,24.61,3.88,41.01,2629.55,187.78,6.08,5.64,2.39,116.93,0.00,44.42,9099.23,22.29,31.51,17.83,9.45,25.96,0.07,5.99,4.63,4.20,6.57,2.23,238.63,0.46,1.33,154.43,83.49,4.98,257.91,33.53,1.83,12.54,12.07,3.87,1.94,5.12,7.95,3.34,2.94,3.22,63.18,5.66,2.19,15.81,42.52,6.27,0.51,80.78,7.34,2.02,0.00,234.85,1.99,10.78,60.69,0.60,191.40,2.35,3.91,0.00,7.36,94.19,14.57,13.45
