1.48,4.92,3.59,6.94,0,0.21,0.18,3.42,1.64,1.01,0.03,134.3,1435.54,3832.78,162.7,152.34,0,1.78,1.06,0,0.05,0.01,0.89,0.72,4.54,0.13,1.77,0,0,4.33,0,3.81,1.59,0.12,0.36,11.74,0.48,0.16,0.65,0.74,0.06,0.37,1.27,0.09,0.13,0.04,1.22,1.88,0.96,0.5,0,0.2
1.74,4.63,0.4,5.99,0.07,0.06,0.77,2.45,1.58,1.12,0.24,3.72,1683.21,3580.06,192.22,132.62,0,4.22,0.72,0.22,0,0,0.54,0.99,1.05,0.26,0.36,0,2.73,5.31,0.02,0.05,0.4,0.06,2.95,2.73,0.32,0.01,0.26,0.47,0.09,0.34,0.55,1.85,0.1,0.09,2.29,4.83,0,0.14,0,0.05
0.54,5.16,0.2,5.29,0,0.07,0.3,3.9,1.19,1.21,0.02,0.69,1432.94,3513.2,256.41,171.7,0.01,0.73,0.82,0,0.05,0,0.82,0.4,1.97,0.24,1.43,0,3.81,0,0,1.24,1.17,0.08,0.64,28.21,0.36,0.16,0.38,0.19,1.11,0.62,1.33,0.38,0.12,0,1.65,1.3,0.2,1.23,0,0
0.81,5.03,0.24,3.91,0.15,0.37,0.48,3.29,0.8,1.25,0.05,20.01,1280.59,4634.24,150.1,163.51,0,0.65,0.6,0,0.31,0.01,1.05,0.49,2.41,0.17,1.75,0,4,2.63,0,8,5.56,0.14,3.27,13.79,0.82,0.44,0.99,0.06,0.38,0.5,1.17,0.74,0.04,0.1,2.82,2.68,2.78,1,0,0.12
0.77,4.41,1.07,5.8,0,0.12,0.32,3.29,0.94,0.99,0.06,19.93,1326.75,3186.12,203.03,137.28,0,1.39,0.66,0.29,0,0,0.68,0.3,1.99,0.36,0.42,0,1.31,3.18,0,1.02,3.86,0.1,0.64,10.4,0.56,0.23,0.77,0.16,0.49,0.47,0.66,0.1,0.12,0,0.6,2.1,0.3,0.29,0,0.16
0.54,3.92,0.99,3.81,0.31,0.65,0.08,1.93,0.89,0.92,0.03,183.96,1357.35,3849.27,232.03,200.31,0,4.23,0.54,0,0.18,0,1.81,0.41,10.76,0.45,6.76,0,11.57,0,0,15.59,0.58,0.58,1.54,28.57,0.68,0.24,0.53,0.4,0.05,0,0.08,0.41,0.05,0.36,11.79,3.23,3.44,2.6,0,0.32
1.05,3.71,1.55,5.55,0.06,0.43,0.23,3.04,0.67,0.45,0.3,411.67,1545.88,3848.82,74.05,165.93,0,0.67,0.88,0,0.04,0,0.93,0.74,3.86,0.21,3.98,0,6.76,0,0,7.51,1.28,0.13,0.43,13.23,0.83,0.19,0.4,0.29,0.23,0.35,0.97,0,0.14,0,1.08,1.16,2.63,0.45,0,0.16
1.08,3.22,0,3.97,0,0.04,0.75,1.64,1.09,0.83,0.04,8.92,1790.21,3095.81,125.01,124.56,0,2.73,0.65,0.13,0.13,0,0.56,0.36,1.35,0.06,0.15,0,1.13,2.41,0,0.19,0.47,0.04,2.73,1.76,0.33,0.06,0.15,0.01,0.16,0.2,0.49,1.76,0.08,0.1,2.27,3.45,0,0.18,0,0.04
1.36,7.96,4.81,5.63,0,0.22,0.2,4.71,1.2,2.15,0.08,0.33,1026.22,4026.08,466.92,204.08,0,0.92,0.75,0,0.17,0,0.79,0.61,2.61,0.23,0.65,0,1.73,4.38,0,0.14,0.4,0.25,0.77,16.9,0.61,0.5,1.09,0.17,1.06,0.51,1.04,0.51,0.16,0.08,3.24,2.29,0.18,0.31,0,0.02
0.89,6.51,0.14,3.58,0,0.31,0.31,3.84,0.61,1.92,0.06,6.64,839.12,4668.91,245.53,173.96,0,0.8,0.55,0.23,0.1,0,1.45,0.97,2.71,0.37,1.28,0,6.25,9.28,0.13,4.04,3.18,0.37,3.31,13.95,0.66,0.65,1.84,0.19,0.23,0.41,0.91,1.08,0.18,0.22,3.99,3.62,1.13,0.59,0,0.27
1.63,6.72,0.1,4.54,0,0.1,0.41,3.58,1.09,1.8,0.02,3.59,711.31,3339,330.34,114.56,0,3.16,0.56,0.66,0,0,0.56,0.51,2.08,0.3,0.12,0,5.66,14.32,0,0.33,3.29,0.41,0.59,6.61,0.38,0.49,1.53,0.13,0.38,0.41,0.56,0.16,0.07,0.04,0.94,1.85,0.08,0.12,0,0.83
0.96,6.93,4.58,4.53,0,0.14,0.17,2.08,1.2,1.95,0.01,16.09,1679.1,4640.65,455.63,303.32,0,3.82,0.68,0,0.04,0.02,1.07,0.82,15.31,0.25,2.01,0,4.55,0,0,1.03,1.06,0.11,1.77,12.72,0.5,0.61,1.78,0.09,0.29,0.3,0.1,1.23,0.13,0.49,18.68,7.07,0.34,0.98,0,0.31
2.9,4.71,0.78,5.17,0,0.18,0.19,3.61,0.83,1.21,0.04,82.61,1290.39,4073.93,200.32,154.64,0,0.87,0.79,0,0,0,0.38,0.5,5.44,0.23,0.17,0,2.18,5.03,0,1.06,0.77,0.08,0.26,4.1,0.43,0.27,0.89,0.07,0.04,0.51,1.09,0.22,0.17,0,1.82,1.8,0.16,0.16,0,0.73
