0.66,1.66,0.50,0.10,7.80,17.76,0.059,0.112,2.24,2.32,0.021,0.31,0.94,0.245,3.79,34.28,0.26,0.002,2.39,7.80,1.61,65.19,0.042,74.11,0.57,1.01,0.0037,16.64
0.99,5.35,1.22,0.35,4.53,12.19,0.058,0.131,19.28,0.41,0.031,0.39,0.10,0.087,1.68,28.98,0.18,0.030,6.36,6.06,5.82,92.36,0.081,71.56,4.36,1.84,0.0363,18.33
0.41,3.89,0.45,0.19,12.55,16.60,0.170,0.105,3.74,0.27,0.008,0.12,0.03,0.005,1.08,17.40,0.08,0.006,4.14,3.47,0.85,70.25,0.043,87.21,0.51,1.43,0.0045,12.70
0.49,0.89,0.37,0.13,8.15,21.56,0.043,0.033,0.37,1.41,0.017,0.14,0.51,0.173,1.29,21.57,0.16,0.005,2.94,6.82,0.69,28.26,0.037,21.46,0.18,0.39,0.0070,14.31
0.57,0.58,0.80,0.39,3.05,9.63,0.096,0.033,1.18,1.89,0.085,0.57,1.19,1.158,1.91,63.31,0.26,0.023,4.27,11.53,2.52,42.91,0.071,85.01,2.62,4.07,0.0648,12.67
2.85,19.21,2.34,0.97,4.12,14.10,0.048,0.089,15.18,1.52,0.253,0.31,0.35,0.044,1.23,39.72,0.86,0.086,4.73,12.40,0.13,82.05,0.101,53.39,0.02,6.85,0.0111,8.62
0.84,8.90,1.76,0.55,6.02,34.61,0.054,0.095,10.44,8.14,0.072,0.62,2.97,0.034,2.39,98.47,0.56,0.020,5.22,36.78,0.19,107.24,0.068,71.84,0.02,4.16,0.0120,42.41
1.65,8.35,1.68,0.54,8.84,41.94,0.126,0.104,9.00,6.20,0.057,0.34,2.31,0.021,6.58,49.08,0.67,0.041,6.70,28.50,2.98,97.15,0.072,48.18,0.48,3.50,0.0069,52.22
5.88,4.35,3.64,1.41,1.86,3.95,0.133,0.024,11.48,6.00,0.058,0.50,2.61,0.160,0.24,55.83,0.75,0.037,1.38,24.79,4.65,153.00,0.151,186.93,5.06,33.75,0.0035,4.21
1.20,4.13,1.31,0.44,6.54,29.05,0.077,0.080,3.31,2.70,0.027,0.28,2.29,0.431,1.75,31.32,0.24,0.019,3.97,9.08,0.70,41.57,0.062,46.90,1.39,2.83,0.0106,12.02
0.89,8.36,1.35,0.33,2.74,16.53,0.039,0.056,6.72,4.54,0.053,0.30,1.56,0.025,6.24,61.51,0.33,0.017,3.65,19.96,1.85,59.51,0.046,46.74,0.39,3.20,0.0065,46.32
2.69,6.88,3.15,1.39,9.19,36.34,0.183,0.153,14.44,8.68,0.111,1.27,4.82,0.209,2.43,58.28,0.66,0.056,8.48,12.57,0.28,146.97,0.125,151.73,0.04,8.75,0.0172,63.91
1.65,14.49,1.54,0.51,22.37,48.28,0.165,0.134,10.54,7.31,0.047,0.28,2.03,0.293,0.60,43.22,0.77,0.004,3.79,34.73,0.15,176.16,0.073,88.70,0.01,6.24,0.0054,27.61
0.86,4.86,1.06,0.54,6.90,57.09,0.059,0.123,3.99,2.91,0.031,0.16,1.87,1.225,1.48,16.67,1.17,0.086,3.30,10.01,0.05,20.32,0.147,8.29,0.02,0.64,0.0390,15.69
0.51,7.66,1.00,0.27,4.95,11.28,0.045,0.061,17.62,3.92,0.035,0.27,1.21,0.023,2.26,54.73,0.08,0.015,3.47,21.57,1.46,96.88,0.038,55.61,0.39,2.36,0.0088,5.97
1.82,4.94,2.49,0.67,3.06,11.64,0.058,0.042,7.43,3.96,0.087,0.25,1.84,0.523,1.17,76.19,0.15,0.049,1.65,22.09,2.79,97.71,0.085,110.07,1.96,7.55,0.0121,4.65
0.68,3.66,1.00,0.24,13.04,29.73,0.058,0.040,5.37,2.68,0.032,0.12,1.19,0.020,2.11,34.19,0.13,0.005,2.08,13.05,0.44,118.74,0.042,81.22,0.21,3.06,0.0179,6.80
1.92,68.45,1.41,0.39,45.32,134.86,0.294,0.573,63.61,0.34,0.030,0.40,0.41,0.127,1.10,74.82,0.67,0.013,4.01,18.27,0.31,83.23,0.065,91.72,0.03,3.88,0.0069,31.45
0.76,26.29,1.10,0.17,44.32,184.46,0.233,0.219,16.99,0.32,0.027,0.48,0.08,1.858,1.53,58.43,0.99,0.005,6.02,18.21,0.20,61.03,0.103,63.97,0.08,5.52,0.0062,27.83
1.39,14.06,2.78,0.48,11.98,42.73,0.524,0.068,6.87,0.78,0.040,0.55,0.13,0.381,4.26,74.72,0.24,0.022,4.87,17.88,1.21,129.21,0.060,193.64,2.09,17.14,0.0083,47.20
1.33,4.70,2.11,0.34,22.56,34.68,0.046,0.305,3.41,0.23,0.026,0.24,0.04,0.007,2.92,66.98,0.04,0.006,3.09,10.40,0.62,152.44,0.050,399.66,1.92,11.51,0.0061,11.43
1.03,6.92,1.09,0.55,5.20,36.43,0.104,0.134,8.38,9.13,0.026,0.48,12.54,0.009,6.56,32.33,0.25,0.028,3.49,7.64,2.42,72.87,0.045,69.45,1.37,3.46,0.0099,29.82
0.94,5.05,0.56,0.15,18.48,35.98,0.106,0.131,3.52,5.56,0.017,0.11,5.42,0.014,1.77,24.19,0.12,0.007,3.45,7.19,0.88,56.49,0.046,48.36,0.76,1.63,0.0038,12.62
